Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],GDP per capita (current US$) [NY.GDP.PCAP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Albania,ALB,82,5396.21586434732,18.1443771903866
2019,YR2019,Andorra,AND,..,41327.5020305489,..
2019,YR2019,Armenia,ARM,47,4828.50517771789,22.2851709900772
2019,YR2019,Austria,AUT,27,50070.4033482901,25.5821783311983
2019,YR2019,Azerbaijan,AZE,28,4805.75371765917,14.2188526451777
2019,YR2019,Belarus,BLR,49,6837.71782606351,13.3015061393462
2019,YR2019,Belgium,BEL,46,46638.6813054855,22.62131642449
2019,YR2019,Bosnia and Herzegovina,BIH,90,6011.37067052755,20.1013533136509
2019,YR2019,Bulgaria,BGR,61,9879.33434282707,20.4736245713875
2019,YR2019,Channel Islands,CHI,..,..,..
2019,YR2019,Croatia,HRV,51,15331.8830536722,21.6729080648553
2019,YR2019,Cyprus,CYP,54,29417.138671875,23.3010327048071
2019,YR2019,Czechia,CZE,41,23664.8478631108,14.7687696689181
2019,YR2019,Denmark,DNK,4,59592.9806886454,34.6898168609167
2019,YR2019,Estonia,EST,18,23424.4847073518,21.2928815250286
2019,YR2019,Faroe Islands,FRO,..,63383.196148417,..
2019,YR2019,Finland,FIN,20,48629.8582283032,20.6684788499862
2019,YR2019,France,FRA,33,40494.8982936276,24.5146627776513
2019,YR2019,Georgia,GEO,7,4696.15058555612,23.1173329727924
2019,YR2019,Germany,DEU,22,46793.6867616004,11.4111238433057
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,19144.284387556,26.1798097245255
2019,YR2019,Greenland,GRL,..,53256.2440862119,..
2019,YR2019,Hungary,HUN,52,16782.9524639857,22.3684019223779
2019,YR2019,Iceland,ISL,26,68853.71521658,21.8041300814743
2019,YR2019,Ireland,IRL,24,80927.0746710666,17.7228804692017
2019,YR2019,Isle of Man,IMN,..,87157.4714603395,..
2019,YR2019,Italy,ITA,58,33673.7509627421,24.5767049036025
2019,YR2019,Kazakhstan,KAZ,25,9812.5958082732,11.78694274063
2019,YR2019,Kosovo,XKX,57,4416.10835754636,..
2019,YR2019,Kyrgyz Republic,KGZ,80,1374.03210467421,16.8640679486618
2019,YR2019,Latvia,LVA,19,17945.2222164984,21.2656517507473
2019,YR2019,Liechtenstein,LIE,..,167019.618092859,..
2019,YR2019,Lithuania,LTU,11,19595.1415724355,19.9867204337659
2019,YR2019,Luxembourg,LUX,72,112621.821337404,26.4782859693754
2019,YR2019,Moldova,MDA,48,4493.37030323867,17.3103603225812
2019,YR2019,Monaco,MCO,..,199377.481831603,..
2019,YR2019,Montenegro,MNE,50,8909.65333601178,..
2019,YR2019,Netherlands,NLD,42,52476.2732533327,24.0454827779179
2019,YR2019,North Macedonia,MKD,17,6070.38805358275,17.0832810795126
2019,YR2019,Norway,NOR,9,75719.7528965342,23.5015787919912
2019,YR2019,Poland,POL,40,15699.9113500703,17.3364818404434
2019,YR2019,Portugal,PRT,39,23330.817288932,22.2011920067777
2019,YR2019,Romania,ROU,55,12958.0755553785,14.536086195587
2019,YR2019,Russian Federation,RUS,29,11536.2509765625,10.938399737976
2019,YR2019,San Marino,SMR,92,47287.3983949924,16.9127343335333
2019,YR2019,Serbia,SRB,44,7417.20364852201,24.0497349284773
2019,YR2019,Slovak Republic,SVK,45,19383.4810445228,18.6260660928458
2019,YR2019,Slovenia,SVN,37,26016.078683914,18.1721850221945
2019,YR2019,Spain,ESP,31,29581.5185513299,13.7486320897494
2019,YR2019,Sweden,SWE,10,51939.4297445291,27.4127018295836
2019,YR2019,Switzerland,CHE,36,84121.9310304414,9.90716918660662
2019,YR2019,Tajikistan,TJK,106,889.02026237745,..
2019,YR2019,Turkiye,TUR,34,9103.04337531894,16.5496059846196
2019,YR2019,Turkmenistan,TKM,..,7344.64823305792,..
2019,YR2019,Ukraine,UKR,64,3661.45629882813,19.1961400966208
2019,YR2019,United Kingdom,GBR,8,42747.080460496,25.1175420444006
2019,YR2019,Uzbekistan,UZB,69,1784.00981608195,12.6953747017566
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/22/2022,,,,,,
